movement_class,muscle_group,contraindication,tagged,group_size,coverage,inconsistent,examples_tagged,examples_untagged,tag_correct_for_this_movement__Y_N,coverage_correct__Y_N,missing_contraindications,reviewer_notes
(isolation),legs,bad_ankle,28,126,22%,REVIEW,Alternate Leg Diagonal Bound | Ankle Circles | Ankle On The Knee,90/90 Hamstring | All Fours Quad Stretch | Backward Drag | Balance Board | Bear Crawl Sled Drags | Bench Sprint | Bicycl,,,,
(isolation),legs,bad_knee,105,126,83%,REVIEW,90/90 Hamstring | All Fours Quad Stretch | Alternate Leg Diagonal Bound,Ankle Circles | Ankle On The Knee | Anterior Tibialis-Smr | Calves-Smr | Foot-Smr | Groin And Back Stretch | Groiners | ,,,,
(isolation),legs,knee_replacement,105,126,83%,REVIEW,90/90 Hamstring | All Fours Quad Stretch | Alternate Leg Diagonal Bound,Ankle Circles | Ankle On The Knee | Anterior Tibialis-Smr | Calves-Smr | Foot-Smr | Groin And Back Stretch | Groiners | ,,,,
(isolation),legs,osteoporosis,30,126,24%,REVIEW,Alternate Leg Diagonal Bound | Backward Drag | Bench Jump,90/90 Hamstring | All Fours Quad Stretch | Ankle Circles | Ankle On The Knee | Anterior Tibialis-Smr | Balance Board | B,,,,
(isolation),shoulders,bad_knee,11,62,18%,REVIEW,Circus Bell | Double Kettlebell Jerk | Jerk Balance,Alternating Kettlebell Press | Anti-Gravity Press | Arm Circles | Backward Medicine Ball Throw | Band Pull Apart | Barbe,,,,
(isolation),shoulders,heart_disease,10,62,16%,REVIEW,Anti-Gravity Press | Barbell Incline Shoulder Raise | Car Drivers,Alternating Kettlebell Press | Arm Circles | Backward Medicine Ball Throw | Band Pull Apart | Battling Ropes | Bent Over,,,,
(isolation),shoulders,hypertension,10,62,16%,REVIEW,Anti-Gravity Press | Barbell Incline Shoulder Raise | Car Drivers,Alternating Kettlebell Press | Arm Circles | Backward Medicine Ball Throw | Band Pull Apart | Battling Ropes | Bent Over,,,,
(isolation),shoulders,knee_replacement,11,62,18%,REVIEW,Circus Bell | Double Kettlebell Jerk | Jerk Balance,Alternating Kettlebell Press | Anti-Gravity Press | Arm Circles | Backward Medicine Ball Throw | Band Pull Apart | Barbe,,,,
deadlift,legs,heart_disease,34,52,65%,REVIEW,Barbell Deadlift | Clean | Clean Deadlift,Alternating Hang Clean | Axle Deadlift | Cable Deadlifts | Car Deadlift | Double Kettlebell Alternating Hang Clean | Dum,,,,
deadlift,legs,herniated_disc,44,52,85%,REVIEW,Alternating Hang Clean | Axle Deadlift | Barbell Deadlift,Clean Shrug | Clean From Blocks | Heaving Snatch Balance | Leverage Deadlift | Power Clean From Blocks | Snatch Balance ,,,,
deadlift,legs,hypertension,34,52,65%,REVIEW,Barbell Deadlift | Clean | Clean Deadlift,Alternating Hang Clean | Axle Deadlift | Cable Deadlifts | Car Deadlift | Double Kettlebell Alternating Hang Clean | Dum,,,,
deadlift,legs,osteoporosis,44,52,85%,REVIEW,Alternating Hang Clean | Axle Deadlift | Barbell Deadlift,Clean Shrug | Clean From Blocks | Heaving Snatch Balance | Leverage Deadlift | Power Clean From Blocks | Snatch Balance ,,,,
