food,food_id,incompatible_with,rasa,virya,source,pair_ok,missing_pairs,vaidya_notes
Dadhi (Curd),curd_yogurt,banana,sour; sweet,heating,bhavaprakasha,,,
Dadhi (Curd),curd_yogurt,fish,sour; sweet,heating,bhavaprakasha,,,
Dadhi (Curd),curd_yogurt,milk_full_fat,sour; sweet,heating,bhavaprakasha,,,
Godugdha (Cow's Milk),milk_full_fat,banana,sweet,cooling,bhavaprakasha,,,
Godugdha (Cow's Milk),milk_full_fat,curd_yogurt,sweet,cooling,bhavaprakasha,,,
Godugdha (Cow's Milk),milk_full_fat,fish,sweet,cooling,bhavaprakasha,,,
Godugdha (Cow's Milk),milk_full_fat,lemon_water,sweet,cooling,bhavaprakasha,,,
Goghrita (Cow's Ghee),ghee,honey,sweet,cooling,bhavaprakasha,,,
Kadali (Banana),banana,curd_yogurt,sweet; astringent,cooling,bhavaprakasha,,,
Kadali (Banana),banana,milk_full_fat,sweet; astringent,cooling,bhavaprakasha,,,
Mosambi (Sweet Lime),mosambi_sweet_lime,milk_full_fat,sweet; sour,cooling,bhavaprakasha,,,
Nagaranga (Orange),orange,milk_full_fat,sweet; sour,cooling,bhavaprakasha,,,
Nimbu Jala (Lemon Water),lemon_water,curd_yogurt,sour,heating,bhavaprakasha,,,
Nimbu Jala (Lemon Water),lemon_water,milk,sour,heating,bhavaprakasha,,,
Raktaphala (Tomato),tomato,milk_full_fat,sour; sweet,heating,modern_extrapolated,,,
Tila (Sesame Seeds),sesame_seeds_til,milk_full_fat,sweet; bitter; astringent,heating,bhavaprakasha,,,
